arrival_time,departure_time,shape_dist_traveled,stop_id,stop_sequence,timepoint,trip_id
15:12:00,15:12:00,,361,4,1,CITIBUS003013
15:14:00,15:14:00,,WID400,5,1,CITIBUS003013
07:56:00,07:56:00,,411,7,1,CITIBUS003002
15:15:00,15:15:00,,409,6,1,CITIBUS003013
15:16:00,15:16:00,,411,7,1,CITIBUS003013
15:16:00,15:16:00,,413,8,1,CITIBUS003013
15:19:00,15:19:00,,415,9,1,CITIBUS003013
15:20:00,15:20:00,,418,10,1,CITIBUS003013
15:21:00,15:21:00,,416,11,1,CITIBUS003013
15:24:00,15:24:00,,518,12,1,CITIBUS003013
15:26:00,15:26:00,,WID401,13,1,CITIBUS003013
15:27:00,15:27:00,,385,14,1,CITIBUS003013
15:28:00,15:28:00,,387,15,1,CITIBUS003013
07:12:00,07:12:00,,361,4,1,CITIBUS003001
07:56:00,07:56:00,,413,8,1,CITIBUS003002
15:29:00,15:29:00,,389,16,1,CITIBUS003013
15:30:00,15:30:00,,391,17,1,CITIBUS003013
15:31:00,15:31:00,,393,18,1,CITIBUS003013
15:31:00,15:31:00,,310,19,1,CITIBUS003013
15:32:00,15:32:00,,262,20,1,CITIBUS003013
15:34:00,15:34:00,,311,21,1,CITIBUS003013
15:35:00,15:35:00,,427,22,1,CITIBUS003013
15:36:00,15:36:00,,428,23,1,CITIBUS003013
15:36:00,15:36:00,,429,24,1,CITIBUS003013
15:37:00,15:37:00,,430,25,1,CITIBUS003013
07:59:00,07:59:00,,415,9,1,CITIBUS003002
15:37:00,15:37:00,,WID402,26,1,CITIBUS003013
15:40:00,15:40:00,,262,27,1,CITIBUS003013
15:42:00,15:42:00,,328,28,1,CITIBUS003013
15:42:00,15:42:00,,264,29,1,CITIBUS003013
15:45:00,15:45:00,,265,30,1,CITIBUS003013
15:46:00,15:46:00,,267,31,1,CITIBUS003013
15:48:00,15:48:00,,305,32,1,CITIBUS003013
15:50:00,15:50:00,,465,1,1,CITIBUS003014
15:50:00,15:50:00,,365,2,1,CITIBUS003014
15:51:00,15:51:00,,364,3,1,CITIBUS003014
08:00:00,08:00:00,,418,10,1,CITIBUS003002
15:52:00,15:52:00,,361,4,1,CITIBUS003014
15:54:00,15:54:00,,WID400,5,1,CITIBUS003014
15:55:00,15:55:00,,409,6,1,CITIBUS003014
15:56:00,15:56:00,,411,7,1,CITIBUS003014
15:56:00,15:56:00,,413,8,1,CITIBUS003014
15:59:00,15:59:00,,415,9,1,CITIBUS003014
16:00:00,16:00:00,,418,10,1,CITIBUS003014
16:01:00,16:01:00,,416,11,1,CITIBUS003014
16:04:00,16:04:00,,518,12,1,CITIBUS003014
16:06:00,16:06:00,,WID401,13,1,CITIBUS003014
08:01:00,08:01:00,,416,11,1,CITIBUS003002
16:07:00,16:07:00,,385,14,1,CITIBUS003014
16:08:00,16:08:00,,387,15,1,CITIBUS003014
16:09:00,16:09:00,,389,16,1,CITIBUS003014
16:10:00,16:10:00,,391,17,1,CITIBUS003014
16:11:00,16:11:00,,393,18,1,CITIBUS003014
16:11:00,16:11:00,,310,19,1,CITIBUS003014
16:12:00,16:12:00,,262,20,1,CITIBUS003014
16:14:00,16:14:00,,311,21,1,CITIBUS003014
16:15:00,16:15:00,,427,22,1,CITIBUS003014
16:16:00,16:16:00,,428,23,1,CITIBUS003014
08:04:00,08:04:00,,518,12,1,CITIBUS003002
16:16:00,16:16:00,,429,24,1,CITIBUS003014
16:17:00,16:17:00,,430,25,1,CITIBUS003014
16:17:00,16:17:00,,WID402,26,1,CITIBUS003014
16:20:00,16:20:00,,262,27,1,CITIBUS003014
16:22:00,16:22:00,,328,28,1,CITIBUS003014
16:22:00,16:22:00,,264,29,1,CITIBUS003014
16:25:00,16:25:00,,265,30,1,CITIBUS003014
16:26:00,16:26:00,,267,31,1,CITIBUS003014
16:28:00,16:28:00,,305,32,1,CITIBUS003014
16:30:00,16:30:00,,465,1,1,CITIBUS003015
08:06:00,08:06:00,,WID401,13,1,CITIBUS003002
16:30:00,16:30:00,,365,2,1,CITIBUS003015
16:31:00,16:31:00,,364,3,1,CITIBUS003015
16:32:00,16:32:00,,361,4,1,CITIBUS003015
16:34:00,16:34:00,,WID400,5,1,CITIBUS003015
16:35:00,16:35:00,,409,6,1,CITIBUS003015
16:36:00,16:36:00,,411,7,1,CITIBUS003015
16:36:00,16:36:00,,413,8,1,CITIBUS003015
16:39:00,16:39:00,,415,9,1,CITIBUS003015
16:40:00,16:40:00,,418,10,1,CITIBUS003015
16:41:00,16:41:00,,416,11,1,CITIBUS003015
08:07:00,08:07:00,,385,14,1,CITIBUS003002
16:44:00,16:44:00,,518,12,1,CITIBUS003015
16:46:00,16:46:00,,WID401,13,1,CITIBUS003015
16:47:00,16:47:00,,385,14,1,CITIBUS003015
16:48:00,16:48:00,,387,15,1,CITIBUS003015
16:49:00,16:49:00,,389,16,1,CITIBUS003015
16:50:00,16:50:00,,391,17,1,CITIBUS003015
16:51:00,16:51:00,,393,18,1,CITIBUS003015
16:51:00,16:51:00,,310,19,1,CITIBUS003015
16:52:00,16:52:00,,262,20,1,CITIBUS003015
16:54:00,16:54:00,,311,21,1,CITIBUS003015
08:08:00,08:08:00,,387,15,1,CITIBUS003002
16:55:00,16:55:00,,427,22,1,CITIBUS003015
16:56:00,16:56:00,,428,23,1,CITIBUS003015
16:56:00,16:56:00,,429,24,1,CITIBUS003015
16:57:00,16:57:00,,430,25,1,CITIBUS003015
16:57:00,16:57:00,,WID402,26,1,CITIBUS003015
17:00:00,17:00:00,,262,27,1,CITIBUS003015
17:02:00,17:02:00,,328,28,1,CITIBUS003015
17:02:00,17:02:00,,264,29,1,CITIBUS003015
17:05:00,17:05:00,,265,30,1,CITIBUS003015
17:06:00,17:06:00,,267,31,1,CITIBUS003015
08:09:00,08:09:00,,389,16,1,CITIBUS003002
17:08:00,17:08:00,,305,32,1,CITIBUS003015
17:10:00,17:10:00,,465,1,1,CITIBUS003016
17:10:00,17:10:00,,365,2,1,CITIBUS003016
17:11:00,17:11:00,,364,3,1,CITIBUS003016
17:12:00,17:12:00,,361,4,1,CITIBUS003016
17:14:00,17:14:00,,WID400,5,1,CITIBUS003016
17:15:00,17:15:00,,409,6,1,CITIBUS003016
17:16:00,17:16:00,,411,7,1,CITIBUS003016
17:16:00,17:16:00,,413,8,1,CITIBUS003016
17:19:00,17:19:00,,415,9,1,CITIBUS003016
08:10:00,08:10:00,,391,17,1,CITIBUS003002
17:20:00,17:20:00,,418,10,1,CITIBUS003016
17:21:00,17:21:00,,416,11,1,CITIBUS003016
17:24:00,17:24:00,,518,12,1,CITIBUS003016
17:26:00,17:26:00,,WID401,13,1,CITIBUS003016
17:27:00,17:27:00,,385,14,1,CITIBUS003016
17:28:00,17:28:00,,387,15,1,CITIBUS003016
17:29:00,17:29:00,,389,16,1,CITIBUS003016
17:30:00,17:30:00,,391,17,1,CITIBUS003016
17:31:00,17:31:00,,393,18,1,CITIBUS003016
17:31:00,17:31:00,,310,19,1,CITIBUS003016
07:14:00,07:14:00,,WID400,5,1,CITIBUS003001
08:11:00,08:11:00,,393,18,1,CITIBUS003002
17:32:00,17:32:00,,262,20,1,CITIBUS003016
17:34:00,17:34:00,,311,21,1,CITIBUS003016
17:35:00,17:35:00,,427,22,1,CITIBUS003016
17:36:00,17:36:00,,428,23,1,CITIBUS003016
17:36:00,17:36:00,,429,24,1,CITIBUS003016
17:37:00,17:37:00,,430,25,1,CITIBUS003016
17:37:00,17:37:00,,WID402,26,1,CITIBUS003016
17:40:00,17:40:00,,262,27,1,CITIBUS003016
17:42:00,17:42:00,,328,28,1,CITIBUS003016
17:42:00,17:42:00,,264,29,1,CITIBUS003016
08:11:00,08:11:00,,310,19,1,CITIBUS003002
17:45:00,17:45:00,,265,30,1,CITIBUS003016
17:46:00,17:46:00,,267,31,1,CITIBUS003016
17:48:00,17:48:00,,305,32,1,CITIBUS003016
